comment_channel,createtime,ext1,ext2,ext3,ext4,ext5,id,img,keywords,level,media_name,media_type,old_level,title,url
sh,1529578907,,sh:comos-hefphqm1264756:0,,sh:comos-hefphqm1264756:0,"原标题：孩子打开冰箱，脸上缝38针！夏天到了，这些东西放进冰箱要慎重
炎炎夏日，温度逐渐上升，今年的夏天怕是又要热出新高度了。吓得我，赶紧拿出一瓶冰可乐压压惊~~",1-1-35861856,,"爆炸,冰箱,啤酒瓶",0,中国经济网,,2,孩子开冰箱脸上缝38针 这些东西夏天放冰箱要慎重,http://news.sina.com.cn/s/2018-06-21/doc-ihefphqm1264756.shtml
sh,1529578742,,sh:comos-hefphqm1249445:0,,sh:comos-hefphqm1249445:0,"原标题：中科院研究生被高中同学连刺数刀身亡，却仅仅因为……
来源：中国之声",1-1-35861851,,"中科院,大学生,林森浩",0,新浪新闻综合,,3,中科院研究生被同学连刺数刀身亡 疑作案动机曝光,http://news.sina.com.cn/s/2018-06-21/doc-ihefphqm1249445.shtml
sh,1529578577,,sh:comos-hefphqm1237991:0,,sh:comos-hefphqm1237991:0,"中科院研究生被高中同学连刺数刀身亡，却仅仅因为……
原创：中国之声中国之声今天",1-1-35861849,,"中科院,大学生",1,央广网,,1,中科院研究生被高中同学连刺数刀身亡 仅仅因为这,http://news.sina.com.cn/s/2018-06-21/doc-ihefphqm1237991.shtml
sh,1529578201,,sh:comos-hefphqm1204053:0,,sh:comos-hefphqm1204053:0,"原标题：那个亲手掐死两个女儿的父亲
来源：中国新闻周刊",1-1-35861800,,"嫌疑人,肖珍,韦越",0,新浪新闻综合,,2,男子自述杀两亲生女过程:同时掐两人颈部窒息致死,http://news.sina.com.cn/s/2018-06-21/doc-ihefphqm1204053.shtml
sh,1529577495,,sh:comos-hefphqm1141114:0,,sh:comos-hefphqm1141114:0,"原标题：农业农村部：猪病毒“塞内卡”传入我国，各地应及时诊断报告
农业农村部办公厅关于做好塞内卡病毒病防治工作的通知",1-1-35861857,,"疫情,塞内卡,流行病",0,澎湃新闻,,2,农业农村部：猪病毒“塞内卡”传入我国,http://news.sina.com.cn/s/2018-06-21/doc-ihefphqm1141114.shtml
,1529576617,,sh:comos-hefphqm1051921:0,,sh:comos-hefphqm1051921:0,"原标题：仪陇通报“交警中队长持警棍与人争执”：存不当行为，已约谈
针对“四川南充市仪陇县一交警持警棍与人争执”一事，6月21日，澎湃新闻（www.thepaper.cn）从仪陇县公安局交警大队工作人员处证实，涉事交警汪某的职务是交警大队的一名中队长。此前，仪陇县公安局官方微博@仪陇公安 通报称…",1-1-35861728,,"仪陇,警棍,中队长",0,澎湃新闻,,2,交警领导持警棍与人争执 官方:存不当行为 已约谈,http://news.sina.com.cn/o/2018-06-21/doc-ihefphqm1051921.shtml
sh,1529576516,,sh:comos-hefphqm1040267:0,,sh:comos-hefphqm1040267:0,"原标题：城管殴打小贩被拘！一个惩治粗暴执法的好样本
曾几何时，“城管打人”是不时出现在社会新闻之中的词语。一些城管的职能、职权不清，粗放的管理状态，导致了不少不文明执法现象的发生。",1-1-35861724,,"城管,殴打,小贩,执法",0,中国青年报,,2,媒体：城管殴打小贩被拘 一个惩治粗暴执法好样本,http://news.sina.com.cn/s/2018-06-21/doc-ihefphqm1040267.shtml
sh,1529576299,,sh:comos-hefphqm1016014:0,,sh:comos-hefphqm1016014:0,"原标题：25岁“乖乖女”交男友，父母不支持也不反对：只要默默盯梢就好了…
恋爱被父母反对，卢小姐非常痛苦",1-1-35861712,,"乖乖女,父母,谈恋爱",1,重庆晨报,,1,25岁乖乖女谈恋爱被父母跟踪:和男友吃饭要发定位,http://news.sina.com.cn/s/2018-06-21/doc-ihefphqm1016014.shtml
sh,1529575723,,sh:comos-hefphqm0948480:0,,sh:comos-hefphqm0948480:0,"原标题：被老师扔书砸到左眼致盲，西安一中学生获赔31.7万元
西安晚报6月21日报道，物理课上，学生小张向同学问问题，老师从讲台上扔下一本书，这本书却不巧砸中了小张的左眼，造成七级伤残——一起发生在课堂之上、师生之间的校园伤害民事诉讼，在碑林区法律援助中心援助律师的帮助下得以化解…",1-1-35861709,,"校方,左眼,中学生",0,澎湃新闻,,2,中学生被老师扔书砸瞎左眼 鉴定七级伤残获赔31万,http://news.sina.com.cn/s/2018-06-21/doc-ihefphqm0948480.shtml
sh,1529575190,,sh:comos-hefphqm0881867:0,,sh:comos-hefphqm0881867:0,"原标题：墨西哥球迷世界杯赛场上辱骂德国门将是同性恋，该国足协买单！
[环球网报道 记者 朱梦颖]球迷猖狂，足协买单！在6月17日举行的世界杯F组小组赛德国对阵墨西哥的比赛中，墨西哥球迷高呼反同性恋的“脏话”，公然攻击德国金牌门将“小新”（诺伊尔）为同性恋。对此，国际足联做出处罚决定…",1-1-35861652,,"世界杯,墨西哥,国际足联",0,环球网,,2,墨西哥球迷辱骂德国门将是同性恋 该国足协被罚款,http://news.sina.com.cn/s/2018-06-21/doc-ihefphqm0881867.shtml
