小区名称,户型,面积,区域,楼层,朝向,单价（平方米）Y,建筑时间
梅园六街坊,2室0厅,47.72,浦东,低区/6层,朝南,104777,1992年建
碧云新天地（一期）,3室2厅,108.93,浦东,低区/6层,朝南,67474,2002年建
博山小区,1室1厅,43.79,浦东,中区/6层,朝南,59374,1988年建
金桥新村四街坊（博兴路986弄）,1室1厅,41.66,浦东,中区/6层,朝南北,67210,1997年建
博山小区,1室0厅,39.77,浦东,高区/6层,朝南,59089,1987年建
潍坊三村,1室0厅,34.84,浦东,中区/5层,,74626,1983年建
伟莱家园,2室2厅,100.15,浦东,中区/6层,朝南北,51422,2002年建
世茂滨江花园,3室2厅,260.39,浦东,中区/51层,朝西,84488,
羽北小区,2室2厅,69.88,浦东,低区/6层,朝南,80137,1994年建
证大家园（公寓）,3室2厅,122.75,浦东,低区/11层,朝南北,63951,2002年建
上南十村,1室1厅,40.17,浦东,低区/6层,朝南,59746,1992年建
鹏欣家园,1室1厅,59.42,浦东,中区/6层,朝南,69000,1998年建
香楠小区,2室2厅,80.34,浦东,高区/6层,,52277,
恒大华城新华苑,2室1厅,68.9,浦东,高区/6层,朝南北,66763,1997年建
金橘新苑,1室1厅,61.65,浦东,低区/18层,朝南,60016,2006年建
陆家嘴花园（一期）,3室2厅,156.45,浦东,中区/11层,朝南北,89485,1999年建
齐七小区,2室1厅,67.49,浦东,低区/6层,朝南,61490,1997年建
碧云新天地（一期）,3室2厅,129.82,浦东,中区/6层,朝南北,70097,2002年建
芳华路713弄,2室1厅,65.55,浦东,高区/6层,朝南北,55682,1995年建
环球翡翠湾花园（公寓）,3室2厅,118.86,浦东,中区/18层,朝南北,60575,2006年建
香楠小区,2室2厅,85.83,浦东,高区/6层,朝南北,51264,
连波路228弄,3室1厅,72.85,浦东,低区/6层,朝南,59025,1996年建
新领地,2室2厅,105.73,浦东,高区/29层,朝南,50600,2002年建
园西小区,2室1厅,54.82,浦东,中区/5层,朝南北,45603,1987年建
杨思路502弄,2室0厅,46.68,浦东,高区/7层,朝东北,53556,1995年建
海桐小区,2室1厅,71.18,浦东,低区/6层,朝南,88508,1999年建
宏莲馨苑,3室2厅,110.17,浦东,中区/11层,朝南北,62539,
金杨二街坊,2室1厅,61.75,浦东,高区/7层,朝西南,53441,
金桥新村四街坊（博兴路986弄）,3室1厅,73.17,浦东,低区/6层,朝南北,61500,1997年建
金桥瑞仕花园,2室2厅,116.22,浦东,高区/12层,朝南北,94648,2008年建
上南六村,2室0厅,51.1,浦东,高区/6层,朝南,59882,
潍坊八村,2室1厅,48.11,浦东,中区/6层,朝南,80024,1985年建
锦福苑,1室1厅,58.5,浦东,高区/6层,朝南北,40000,2005年建
碧云新天地（一期）,2室2厅,95.78,浦东,低区/6层,朝南,66819,2002年建
东陆新村五街坊,1室1厅,42.42,浦东,中区/6层,朝南,64827,2003年建
临沂七村,1室0厅,34.5,浦东,低区/6层,,69565,1990年建
菊园,3室2厅,135.65,浦东,中区/35层,朝南,81091,
双桥小区,2室1厅,75.1,浦东,高区/6层,朝南,63914,1997年建
浦发绿城,2室1厅,72.82,浦东,低区/6层,朝南北,54243,2004年建
兰园小区,2室0厅,55.51,浦东,高区/6层,朝南北,77463,1988年建
金桥新村四街坊（博兴路986弄）,3室1厅,76,浦东,高区/6层,朝南北,56578,1997年建
罗山五村,2室1厅,62.34,浦东,中区/6层,朝东南,56945,
东源名都,3室2厅,138.57,浦东,低区/18层,朝南北,57371,2007年建
交江大楼,2室1厅,82.12,浦东,中区/27层,朝东南,47491,1995年建
上南花苑,4室2厅,143.46,浦东,低区/7层,朝南,52279,1996年建
潼港六村,2室1厅,58.22,浦东,低区/6层,朝南,41738,1990年建
绿地东上海,2室2厅,113.81,浦东,低区/18层,朝南北,50962,2007年建
金唐公寓,1室1厅,59.72,浦东,高区/6层,朝南,49899,2006年建
涵乐园,1室2厅,68.47,浦东,低区/24层,朝东,87337,
绿地康桥新苑,2室1厅,77.72,浦东,高区/6层,朝南,52110,2004年建
樱花路89弄,3室2厅,99.58,浦东,高区/6层,朝南,79835,2006年建
东方康德家园,3室2厅,99.85,浦东,低区/6层,朝南北,47571,
锦博苑,2室2厅,79.57,浦东,高区/6层,朝南,69121,2007年建
海高二村,2室1厅,64.99,浦东,高区/6层,,39236,1994年建
棕榈苑,2室1厅,84.88,浦东,高区/12层,朝南,50659,1999年建
张杨花苑,2室2厅,96.73,浦东,低区/13层,朝西南,75467,
建业新村,2室1厅,64.31,浦东,高区/6层,朝南,52713,1997年建
金杨新村十街坊,3室1厅,72.84,浦东,高区/6层,朝南,50796,1996年建
中星恬园,2室2厅,108.11,浦东,高区/7层,朝南北,90648,
紫竹轩,2室2厅,108.55,浦东,中区/6层,朝南北,58959,2001年建
城南路374弄,2室1厅,40.93,浦东,中区/6层,朝南北,47886,1988年建
绿茵苑（浦东）,1室1厅,57.48,浦东,高区/6层,朝南,57063,1998年建
双桥小区,1室1厅,41.91,浦东,低区/6层,,75161,1997年建
黄山新村,1室0厅,34.29,浦东,高区/6层,朝南北,100612,1995年建
园西小区,3室1厅,71.48,浦东,高区/4层,朝南北,40570,1987年建
临沂六村,1室0厅,35.57,浦东,高区/6层,朝南,60444,
名嘉新苑,3室2厅,122.76,浦东,高区/18层,朝南北,60280,2007年建
临沂大楼,2室1厅,74.27,浦东,低区/25层,朝南,58166,1994年建
桃园公寓（川沙）,2室2厅,95.86,浦东,高区/6层,朝南,37033,1998年建
环球翡翠湾花园（公寓）,3室2厅,119.07,浦东,高区/18层,朝南北,66767,2006年建
中冶尚城,2室2厅,87.48,浦东,低区/14层,朝南北,62871,2010年建
桃林小区,3室2厅,105,浦东,低区/6层,朝,94285,1999年建
双桥小区,1室1厅,41.91,浦东,高区/6层,朝南,81126,1997年建
黄山始信苑,2室1厅,56.39,浦东,低区/6层,朝南,82461,1999年建
金桥新村四街坊（长岛路1201弄）,2室1厅,65.18,浦东,高区/6层,朝南北,56765,1997年建
妙境公寓,3室1厅,105.56,浦东,中区/5层,朝南北,42629,1996年建
恒大华城梅山苑,2室1厅,64.41,浦东,高区/6层,朝南北,60549,1996年建
黄山始信苑,2室1厅,76.47,浦东,低区/4层,朝南北,68000,1999年建
金桥新村四街坊（长岛路1201弄）,2室1厅,64.63,浦东,高区/6层,朝南,56475,1997年建
妙境路627弄,3室1厅,108.91,浦东,高区/6层,朝南,32136,1997年建
牡丹小区（浦东）,2室1厅,54.36,浦东,低区/6层,朝南北,77262,
世华锦城,3室1厅,100.96,浦东,高区/18层,朝南,72305,2007年建
金杨四街坊,3室2厅,95.2,浦东,高区/7层,朝东南,57773,1994年建
尚东国际名园,4室2厅,266.28,浦东,低区/8层,朝南北,50698,2007年建
世茂滨江花园,2室2厅,132.17,浦东,中区/56层,朝西北,83226,
三林世博家园（板泉路2101弄）,2室1厅,73.32,浦东,中区/6层,朝南北,57283,2006年建
绿地景汇佳苑,4室2厅,201.84,浦东,低区/18层,朝南北,49544,2012年建
大华锦绣华城（四街区）,3室2厅,90.91,浦东,低区/18层,朝南,82499,2010年建
港城新苑,2室2厅,94.69,浦东,中区/14层,朝南北,47523,
浦发御园,3室2厅,85.97,浦东,中区/11层,朝南北,77934,2013年建
牡丹小区（浦东）,2室1厅,62.38,浦东,高区/6层,朝南北,76146,
保利金爵公寓,3室2厅,112.07,浦东,中区/14层,朝南北,60676,
